alpha,archive_batch,archive_bits_hash,archive_cut,archive_every,archive_source,archive_step,batch,beta,bifurcation_delay,critical_gap,critical_lambda_1,critical_lambda_2,critical_residual_1,distinct_candidates,dual_init,escape_alignment,escape_subspace_alignment,first_clip_step,graph_hash,initial_state_hash,kappa_escape,m,max_alignment,method,n,perturbations,problem,raw_max_flip_gain,raw_positive_flip_count,refined_cut,refined_max_flip_gain,refinement_gain,refinement_steps,replay_verified,rho,runtime_seconds,seed,steps,tc,tesc,verification_cut,verification_hash
0.1362889241407773,1,ecd921fcd5165f7dae4a7524069ef6b0d39db51b0f35a079be1a2b2e0a8aa659,4286.0,1,batch,29,8,0.02,3,0.012274783809639533,-3.5819899296343265,-3.569715145824687,6.638295487353334e-15,205,0.0,0.025948764206701593,0.0007586077241908893,4,288fcb049ba717a443141b0ff3371a5f06f08554e904608dc6e30b5a3559f2c0,47da152e6f6353e29a6531b38f84a760ef5b75102bcfc0caafc24079628173da,3.5819899296343265,14000,0.07874326049231781,direct,7000,0,G62,2.0,1,4288.0,0.0,2.0,1,True,0.05,1.7136845840141177,0,3000,0,3,4286.0,ecd921fcd5165f7dae4a7524069ef6b0d39db51b0f35a079be1a2b2e0a8aa659
0.1362889241407773,1,7e2fc2a4b3e481471f14c74e0f8e8c1245f9aa3f3c2b35e14483b6b7c032faff,4476.0,1,batch,37,8,0.02,13,0.012274783809630208,-3.581989929634326,-3.569715145824696,6.618044321267184e-15,268,0.0,0.06344851873361429,0.0045193232651898115,14,288fcb049ba717a443141b0ff3371a5f06f08554e904608dc6e30b5a3559f2c0,d75018cb6de77592bb73be9c17a5196559891f794f4addc34d52112f2769ff22,3.581989929634326,14000,0.08695298958393068,direct_tiny,7000,0,G62,0.0,0,4476.0,0.0,0.0,0,True,0.0001,1.664512666000519,0,3000,0,13,4476.0,7e2fc2a4b3e481471f14c74e0f8e8c1245f9aa3f3c2b35e14483b6b7c032faff
0.1362889241407773,6,fec4a2f0a93e869585415b5af146b1c32fa312d2e62283a602d703d78566a698,4778.0,1,batch,1439,8,0.02,92,0.012274783809625767,-0.004969284492720938,0.007305499316904829,7.084056473499254e-15,3628,3.6819899296343293,0.5224638766217875,0.6736348394730298,108,288fcb049ba717a443141b0ff3371a5f06f08554e904608dc6e30b5a3559f2c0,47da152e6f6353e29a6531b38f84a760ef5b75102bcfc0caafc24079628173da,0.46468918080924926,14000,0.4598459043278565,scalar_dual,7000,0,G62,0.0,0,4778.0,0.0,0.0,0,True,0.05,1.7325055830006022,0,3000,21,113,4778.0,fec4a2f0a93e869585415b5af146b1c32fa312d2e62283a602d703d78566a698
0.1362889241407773,7,1bdf60bc08a67dbb66bae503663d05bb91c606c1da285990fe631ba1d47c9eed,4794.0,1,batch,1663,8,0.02,91,0.012279797013301365,-0.0049532575426627845,0.00732653947063858,2.676642574097709e-15,11317,3.6819899296343293,0.6267563238965411,0.6081117524761195,105,288fcb049ba717a443141b0ff3371a5f06f08554e904608dc6e30b5a3559f2c0,47da152e6f6353e29a6531b38f84a760ef5b75102bcfc0caafc24079628173da,0.43697910384527705,14000,0.7781613485610924,pdbo,7000,61634,G62,0.0,0,4794.0,0.0,0.0,0,True,0.05,2.009832334006205,0,3000,21,112,4794.0,1bdf60bc08a67dbb66bae503663d05bb91c606c1da285990fe631ba1d47c9eed
0.1362889241407773,6,88ea798f66f969a45e3042ed6dfcdb68ea5721b54e962c09eaf771c38de44288,4776.0,1,batch,579,8,0.02,92,0.012267409930331534,-0.004962471142263504,0.00730493878806803,1.793167035126505e-15,16991,3.6819899296343293,0.5224875730841464,0.6736626859670186,108,288fcb049ba717a443141b0ff3371a5f06f08554e904608dc6e30b5a3559f2c0,47da152e6f6353e29a6531b38f84a760ef5b75102bcfc0caafc24079628173da,0.4642250629952846,14000,0.45985573156377846,shuffled_dual,7000,0,G62,0.0,0,4776.0,0.0,0.0,0,True,0.05,3.731682792014908,0,3000,21,113,4776.0,88ea798f66f969a45e3042ed6dfcdb68ea5721b54e962c09eaf771c38de44288
0.019888975962103175,0,411ee51b8358eca82283ee3e39d69d9f638a60170bd3efa2f43c081c8ef96ba5,8001.0,1,batch,229,8,0.02,6,3.7471945367397765,-24.8810374983681,-21.133842961628325,4.6152017847762316e-14,901,0.0,0.09053004880750735,0.06947173389424989,6,ba2f4adea0d13597bfedc55c9ab0ab8c9d24163927130c962712f5386927362f,47da152e6f6353e29a6531b38f84a760ef5b75102bcfc0caafc24079628173da,24.8810374983681,41459,0.09480222753866858,direct,7000,0,G64,0.0,0,8001.0,0.0,0.0,0,True,0.05,4.372700750012882,0,3000,0,6,8001.0,411ee51b8358eca82283ee3e39d69d9f638a60170bd3efa2f43c081c8ef96ba5
0.019888975962103175,0,14aa4eea088618e17fac748b6695bde2caf23b874596e0d6075b0e0d46f134e0,8123.0,1,batch,231,8,0.02,19,3.747194536739755,-24.88103749836812,-21.133842961628364,4.2653261732329403e-14,1014,0.0,0.35872302728882804,0.46334333218628065,16,ba2f4adea0d13597bfedc55c9ab0ab8c9d24163927130c962712f5386927362f,d75018cb6de77592bb73be9c17a5196559891f794f4addc34d52112f2769ff22,24.88103749836812,41459,0.3367355737421176,direct_tiny,7000,0,G64,2.0,2,8127.0,0.0,4.0,3,True,0.0001,4.29868633300066,0,3000,0,19,8123.0,14aa4eea088618e17fac748b6695bde2caf23b874596e0d6075b0e0d46f134e0
0.019888975962103175,0,83edd294485a07e8b313276da336803c325b43ec99cf6f09a25ab000427673a3,5905.0,1,batch,2992,8,0.02,2420,3.7471945367397943,-0.004971290482373547,3.7422232462574208,3.384022095397642e-14,5338,24.981037498368174,0.4319058699455108,0.2650427758680699,243,ba2f4adea0d13597bfedc55c9ab0ab8c9d24163927130c962712f5386927362f,47da152e6f6353e29a6531b38f84a760ef5b75102bcfc0caafc24079628173da,12.072934890641065,41459,0.9999999999981011,scalar_dual,7000,0,G64,11.0,1091,7920.0,0.0,2015.0,890,True,0.05,4.332265584002016,0,3000,21,2441,5905.0,83edd294485a07e8b313276da336803c325b43ec99cf6f09a25ab000427673a3
0.019888975962103175,0,3f1b28fbef7015869141eb565d2665622a9b97c525861bd0f565e7f6ebd44f73,5919.0,1,batch,2998,8,0.02,2459,3.7472021320984767,-0.004953030995691591,3.742249101102785,8.922108084478567e-15,5694,24.981037498368174,0.4329792648818268,0.2653663177239044,243,ba2f4adea0d13597bfedc55c9ab0ab8c9d24163927130c962712f5386927362f,47da152e6f6353e29a6531b38f84a760ef5b75102bcfc0caafc24079628173da,7.4293199182304885,41459,0.9999999984992791,pdbo,7000,0,G64,12.0,1083,7923.0,0.0,2004.0,883,True,0.05,4.6569189590227325,0,3000,21,2480,5919.0,3f1b28fbef7015869141eb565d2665622a9b97c525861bd0f565e7f6ebd44f73
0.019888975962103175,7,3d7d712ff88f080ce363f8788e47641b4cafd0b852bc3c8b8e32e1741ec67fa6,5907.0,1,batch,2992,8,0.02,2421,3.747181210793463,-0.004955133814678789,3.7422260769787843,7.1455623562185e-15,7693,24.981037498368174,0.43184706435200165,0.26494601014509744,245,ba2f4adea0d13597bfedc55c9ab0ab8c9d24163927130c962712f5386927362f,47da152e6f6353e29a6531b38f84a760ef5b75102bcfc0caafc24079628173da,12.072900744355799,41459,0.9999999999934425,shuffled_dual,7000,0,G64,11.0,1091,7920.0,0.0,2013.0,889,True,0.05,6.4120859160029795,0,3000,21,2442,5907.0,3d7d712ff88f080ce363f8788e47641b4cafd0b852bc3c8b8e32e1741ec67fa6
0.1368959475838221,6,3ce2281aa292231562b3496ccb03e49c2349c0b36b0a21570565a4d2937b5edb,6076.0,1,batch,35,8,0.02,3,0.004686740491121721,-3.565884974950804,-3.5611982344596824,1.3723414195885497e-14,208,0.0,0.026556861528481312,0.0009334427673979484,4,ef0639540a65e2cf55d9419c0786e3d76dd5e7f3ec8c81f484db790f6b2cb913,1736cadc9ffb5e39934076e09745f25d3c896573a9c9bf03680a9b4410b44f93,3.565884974950804,20000,0.028629869336649637,direct,10000,0,G67,2.0,1,6078.0,0.0,2.0,1,True,0.05,2.6368455000047106,0,3000,0,3,6076.0,3ce2281aa292231562b3496ccb03e49c2349c0b36b0a21570565a4d2937b5edb
0.1368959475838221,6,e4e8f850dd3f1fef0e42ba4f4dce9d6a3260fad3c7621eaa501ac0779ee2c585,6374.0,1,batch,32,8,0.02,13,0.004686740491123942,-3.56588497495081,-3.561198234459686,8.879804760743125e-15,265,0.0,0.06189931089913904,0.0050547914135649795,14,ef0639540a65e2cf55d9419c0786e3d76dd5e7f3ec8c81f484db790f6b2cb913,1f1fbc0f2bdbdbd643cd0a0e15ca4b95df7a89a749dbc923c7a98be526ab147f,3.56588497495081,20000,0.05087777864128044,direct_tiny,10000,0,G67,0.0,0,6374.0,0.0,0.0,0,True,0.0001,2.378396291984245,0,3000,0,13,6374.0,e4e8f850dd3f1fef0e42ba4f4dce9d6a3260fad3c7621eaa501ac0779ee2c585
0.1368959475838221,1,036cd5a8c6cc1e067bef5bd585a6cf10e8787e2f0c7d8cbebdbb4db138b6af72,6840.0,1,batch,1394,8,0.02,82,0.004686740491143482,-0.0049709353390081645,-0.00028419484786468274,1.3171660746619382e-14,4131,3.6658849749508526,0.3646613481839037,0.3878942233406075,95,ef0639540a65e2cf55d9419c0786e3d76dd5e7f3ec8c81f484db790f6b2cb913,1736cadc9ffb5e39934076e09745f25d3c896573a9c9bf03680a9b4410b44f93,0.41466465329555113,20000,0.3303841986107989,scalar_dual,10000,0,G67,2.0,2,6842.0,0.0,2.0,1,True,0.05,2.438938833976863,0,3000,21,103,6840.0,036cd5a8c6cc1e067bef5bd585a6cf10e8787e2f0c7d8cbebdbb4db138b6af72
0.1368959475838221,1,0b59c83168def16e66d96c020020c75894321290b27b8584571356885ea6219e,6866.0,1,batch,1013,8,0.02,82,0.004742336443293361,-0.004970473144676639,-0.00022813670138327843,1.9350660753929565e-15,12195,3.6658849749508526,0.3633020080739523,0.388566749416334,96,ef0639540a65e2cf55d9419c0786e3d76dd5e7f3ec8c81f484db790f6b2cb913,1736cadc9ffb5e39934076e09745f25d3c896573a9c9bf03680a9b4410b44f93,0.40171436592941423,20000,0.33129507607332226,pdbo,10000,80860,G67,0.0,0,6866.0,0.0,0.0,0,True,0.05,2.8388467089971527,0,3000,21,103,6866.0,0b59c83168def16e66d96c020020c75894321290b27b8584571356885ea6219e
0.1368959475838221,1,4ad55bf48bf3d7c0fc9ce64fe3b423d74b79169c81b4aaa8e1c1973ea3f54b78,6838.0,1,batch,944,8,0.02,82,0.0046878170177989936,-0.004968186263917465,-0.00028036924611847075,2.247518957938818e-15,17424,3.6658849749508526,0.3646287518418914,0.3878783169621485,95,ef0639540a65e2cf55d9419c0786e3d76dd5e7f3ec8c81f484db790f6b2cb913,1736cadc9ffb5e39934076e09745f25d3c896573a9c9bf03680a9b4410b44f93,0.41474482343823377,20000,0.33037246235872525,shuffled_dual,10000,0,G67,2.0,2,6840.0,0.0,2.0,1,True,0.05,5.457677124999464,0,3000,21,103,6838.0,4ad55bf48bf3d7c0fc9ce64fe3b423d74b79169c81b4aaa8e1c1973ea3f54b78
0.13714221726807385,2,96dd4d21c3f8ef1addfdad1d76be49d949830e435486403b053ee9481c619b02,9042.0,1,batch,39,8,0.02,3,0.018464472299714263,-3.5568417795053855,-3.5383773072056712,8.483776531351583e-15,251,0.0,0.05178760120326074,0.003584162621811188,5,c1ed050afa0012849735d3d75e97b9f92d27994856d74a93cb55768227d730e3,1736cadc9ffb5e39934076e09745f25d3c896573a9c9bf03680a9b4410b44f93,3.5568417795053855,9999,0.05057383410946242,direct,10000,0,G70,1.0,2,9044.0,0.0,2.0,2,True,0.05,1.7086257079790812,0,3000,0,3,9042.0,96dd4d21c3f8ef1addfdad1d76be49d949830e435486403b053ee9481c619b02
0.13714221726807385,3,2fe197e186ccad727b9ec6dacd0b71cc8ecdc879dd92bed7499a6bbd32855625,9269.0,1,batch,45,8,0.02,15,0.01846447229971515,-3.556841779505385,-3.53837730720567,5.965463822525119e-15,314,0.0,0.053940834364989136,0.03019137792998401,14,c1ed050afa0012849735d3d75e97b9f92d27994856d74a93cb55768227d730e3,1f1fbc0f2bdbdbd643cd0a0e15ca4b95df7a89a749dbc923c7a98be526ab147f,3.556841779505385,9999,0.05899243759049729,direct_tiny,10000,0,G70,0.0,0,9269.0,0.0,0.0,0,True,0.0001,1.608840417000465,0,3000,0,15,9269.0,2fe197e186ccad727b9ec6dacd0b71cc8ecdc879dd92bed7499a6bbd32855625
0.13714221726807385,1,1ce34d8299bc2069402ee8c385a2e52c7da5da4b6445c1a29651a69638c88a0e,9120.0,1,batch,1660,8,0.02,106,0.018464472299701384,-0.004977632319103531,0.013486839980597853,6.099661402842966e-15,3518,3.656841779505411,0.5554632099689918,0.3288900464650187,99,c1ed050afa0012849735d3d75e97b9f92d27994856d74a93cb55768227d730e3,1736cadc9ffb5e39934076e09745f25d3c896573a9c9bf03680a9b4410b44f93,0.5344759710184444,9999,0.8987907985745007,scalar_dual,10000,0,G70,4.0,619,9490.0,0.0,370.0,281,True,0.05,1.653917250019731,0,3000,21,127,9120.0,1ce34d8299bc2069402ee8c385a2e52c7da5da4b6445c1a29651a69638c88a0e
0.13714221726807385,0,9a0bb9ccdce7e7b4ed8febf3ba6d8ba2c419cf569dad88374ce26d46b107f2a7,9397.0,1,batch,2013,8,0.02,108,0.018480262242768254,-0.00495327471834485,0.013526987524423405,2.597134704041783e-15,6132,3.656841779505411,0.38729829435557617,0.31734316835773246,103,c1ed050afa0012849735d3d75e97b9f92d27994856d74a93cb55768227d730e3,1736cadc9ffb5e39934076e09745f25d3c896573a9c9bf03680a9b4410b44f93,0.5015184301416249,9999,0.39000746557498456,pdbo,10000,447231,G70,1.0,198,9496.0,0.0,99.0,99,True,0.05,2.0398579169996083,0,3000,21,129,9397.0,9a0bb9ccdce7e7b4ed8febf3ba6d8ba2c419cf569dad88374ce26d46b107f2a7
0.13714221726807385,1,96a91b089ac532afdda5cd62ce9a2a18f43f66d48740f58a09beda7b7d984ab1,9313.0,1,batch,1763,8,0.02,106,0.018467906002416486,-0.004982922572260498,0.013484983430155988,1.8041880639638077e-15,5933,3.656841779505411,0.555423280866497,0.32885532383836974,99,c1ed050afa0012849735d3d75e97b9f92d27994856d74a93cb55768227d730e3,1736cadc9ffb5e39934076e09745f25d3c896573a9c9bf03680a9b4410b44f93,0.5346911564843863,9999,0.8987778289054695,shuffled_dual,10000,1707687,G70,1.0,358,9492.0,0.0,179.0,179,True,0.05,4.5801051250018645,0,3000,21,127,9313.0,96a91b089ac532afdda5cd62ce9a2a18f43f66d48740f58a09beda7b7d984ab1
0.1344727103009805,5,05a14ecbfceb3969739ac8132dd06892a14e075a8f3f42c362493fbccadda497,12280.0,1,batch,36,8,0.02,3,0.01730729337890491,-3.6310442720465432,-3.6137369786676383,1.824530601691155e-14,248,0.0,0.020970938817854348,0.0018746392661840024,5,9f6c4c257277277791210397d8449e71886ac7e8ddae84da5d9b8b0cb3403c14,0286b025e639c16a643b4e8576df6e672d08b1d42ab861f05f3de084c39c1069,3.6310442720465432,40000,0.02179221562361375,direct,20000,0,G81,2.0,1,12282.0,0.0,2.0,1,True,0.05,5.256824416981544,0,3000,0,3,12280.0,05a14ecbfceb3969739ac8132dd06892a14e075a8f3f42c362493fbccadda497
0.1344727103009805,4,8faf0a1694cd72a0f00245d5f826b9e7c88341953f9bb438a4ab1548dd5dca09,12868.0,1,batch,46,8,0.02,13,0.017307293378910682,-3.63104427204653,-3.6137369786676192,1.0855382320615397e-14,296,0.0,0.12966347145331011,0.019911155931956276,14,9f6c4c257277277791210397d8449e71886ac7e8ddae84da5d9b8b0cb3403c14,e84668e9b2e9768492bc687162fffd260ba590fc8378e5a75bd797e912a9435a,3.63104427204653,40000,0.04298653038104061,direct_tiny,20000,0,G81,0.0,0,12868.0,0.0,0.0,0,True,0.0001,5.057993041991722,0,3000,0,13,12868.0,8faf0a1694cd72a0f00245d5f826b9e7c88341953f9bb438a4ab1548dd5dca09
0.1344727103009805,7,42b583ea1723f3a5f2055bb8c8fc97b40f971fca2cf2c051ad6c22d2554a03bc,13756.0,1,batch,935,8,0.02,104,0.017307293378904465,-0.00497091160341645,0.012336381775488015,8.657100439607947e-15,5207,3.731044272046536,0.41232721400973504,0.32371238102423766,107,9f6c4c257277277791210397d8449e71886ac7e8ddae84da5d9b8b0cb3403c14,0286b025e639c16a643b4e8576df6e672d08b1d42ab861f05f3de084c39c1069,0.5245415006689682,40000,0.6278432921819913,scalar_dual,20000,0,G81,0.0,0,13756.0,0.0,0.0,0,True,0.05,5.208472625003196,0,3000,21,125,13756.0,42b583ea1723f3a5f2055bb8c8fc97b40f971fca2cf2c051ad6c22d2554a03bc
0.1344727103009805,2,a368c0296ae5d458383ec44fc8fdea5eb552a7bb67aed54b581abf9606a6177f,13826.0,1,batch,1796,8,0.02,104,0.017305773508267813,-0.004946347210270787,0.012359426297997026,2.2926961476913e-15,15176,3.731044272046536,0.40713802871007054,0.30425061000530207,102,9f6c4c257277277791210397d8449e71886ac7e8ddae84da5d9b8b0cb3403c14,0286b025e639c16a643b4e8576df6e672d08b1d42ab861f05f3de084c39c1069,0.44714781622273003,40000,0.9041356747446309,pdbo,20000,179573,G81,0.0,0,13826.0,0.0,0.0,0,True,0.05,6.292398707999382,0,3000,21,125,13826.0,a368c0296ae5d458383ec44fc8fdea5eb552a7bb67aed54b581abf9606a6177f
0.1344727103009805,7,56afdfe5a7c8842d1a8abc6fc66dac0a6319394cb80b4f469ef96e28e0e29f6d,13756.0,1,batch,936,8,0.02,104,0.01730895084860285,-0.004972690885600931,0.012336259963001922,1.7560805707354984e-15,17980,3.731044272046536,0.41232899227871184,0.3237194049403016,107,9f6c4c257277277791210397d8449e71886ac7e8ddae84da5d9b8b0cb3403c14,0286b025e639c16a643b4e8576df6e672d08b1d42ab861f05f3de084c39c1069,0.5245161513067964,40000,0.6278476537944401,shuffled_dual,20000,0,G81,0.0,0,13756.0,0.0,0.0,0,True,0.05,11.515128958999412,0,3000,21,125,13756.0,56afdfe5a7c8842d1a8abc6fc66dac0a6319394cb80b4f469ef96e28e0e29f6d
